iter	Accuracy	MultiClass
0	0.06174496644	3.874457491
1	0.07352546388	3.843101711
2	0.07600473747	3.815124491
3	0.08110540861	3.791111043
4	0.08135807343	3.770273411
5	0.08331622582	3.753167073
6	0.08626924595	3.736440163
7	0.08971180418	3.718063156
8	0.09282273983	3.699793286
9	0.09503355705	3.684485358
10	0.09812870114	3.673581593
11	0.1002131859	3.659905983
12	0.1024555863	3.65079701
13	0.1037504935	3.639085737
14	0.1059455191	3.626152138
15	0.1082668772	3.616398684
16	0.1110619818	3.606400302
17	0.1113936044	3.598275908
18	0.1128938018	3.590059901
19	0.1132885906	3.582175289
20	0.1162416107	3.571769603
21	0.11725227	3.564857426
22	0.1192577971	3.557095961
23	0.1197315436	3.549905336
24	0.120457955	3.543589688
25	0.1215317805	3.537652961
26	0.1222266088	3.531465579
27	0.1236952231	3.525190076
28	0.1245953415	3.519596678
29	0.1259376234	3.513127013
30	0.1280378997	3.506887222
31	0.1287958942	3.501940546
32	0.1302960916	3.495452944
33	0.1311014607	3.490115653
34	0.1320963285	3.484629355
35	0.133170154	3.478231071
36	0.1352230557	3.471991333
37	0.1360757994	3.466829615
38	0.1367864193	3.460633186
39	0.1383024082	3.456136778
40	0.1402763522	3.449948882
41	0.1411133044	3.445132994
42	0.1419344651	3.441057722
43	0.1431504145	3.436428267
44	0.1439715752	3.432682237
45	0.144966443	3.428968506
46	0.1459455191	3.423916617
47	0.1465613897	3.420277055
48	0.147287801	3.415333261
49	0.148203711	3.411552214
50	0.1495617844	3.407992668
51	0.1502092381	3.405482126
52	0.1504619029	3.401438373
53	0.1513778129	3.398964255
54	0.1525937623	3.394152892
55	0.1531622582	3.390486875
56	0.1541413344	3.385501714
57	0.1547414133	3.382632947
58	0.1556731149	3.379486087
59	0.156936439	3.375249906
60	0.1581050138	3.371049817
61	0.1588314252	3.36706571
62	0.1597789183	3.363358455
63	0.1602052902	3.358961377
64	0.1609474931	3.355490421
65	0.1618160284	3.351151777
66	0.1630477694	3.347893751
67	0.1640426372	3.34478508
68	0.1642005527	3.34213186
69	0.1648322148	3.338615438
70	0.1654007106	3.335770212
71	0.1661744966	3.332352685
72	0.166585077	3.32899796
73	0.1678799842	3.3250718
74	0.167958942	3.321445695
75	0.168732728	3.31875514
76	0.1702171338	3.3144291
77	0.1706750888	3.311008043
78	0.1720647454	3.306814041
79	0.1730754047	3.303858488
80	0.1741650217	3.30069672
81	0.1746071852	3.29693228
82	0.1751283064	3.29420614
83	0.177007501	3.290590013
84	0.1779865772	3.286563835
85	0.1786814054	3.283405134
86	0.1792814844	3.281747277
87	0.1796446901	3.279521029
88	0.1803079353	3.276613424
89	0.1807500987	3.275088558
90	0.1810185551	3.273300095
91	0.1823766285	3.269521338
92	0.1829293328	3.266306543
93	0.1835452033	3.263369395
94	0.1839557837	3.261100658
95	0.1845400711	3.258685549
96	0.1860244769	3.25521969
97	0.1862139755	3.253441046
98	0.1875088827	3.250078413
99	0.1870983024	3.24790927
100	0.1876352152	3.244560349
101	0.1893722858	3.241779889
102	0.1900829056	3.238840388
103	0.1902724043	3.235572203
104	0.1912830636	3.232912962
105	0.1922937229	3.230309712
106	0.1924042637	3.227523443
107	0.1933201737	3.225343188
108	0.1942360837	3.222566844
109	0.1945519147	3.219244026
110	0.1953572839	3.215613748
111	0.1961152783	3.213554667
112	0.1969206475	3.209413955
113	0.1980734307	3.206431738
114	0.1991946309	3.202544527
115	0.2000315831	3.200403314
116	0.2007106198	3.196869074
117	0.2010422424	3.194911338
118	0.2013264903	3.191914924
119	0.2019423608	3.189316773
120	0.2018476115	3.187628439
121	0.2027003553	3.18554334
122	0.2028582708	3.18315644
123	0.20366364	3.18041199
124	0.2042163443	3.178188275
125	0.2045795499	3.175800504
126	0.2048637979	3.173539749
127	0.2062534544	3.169755627
128	0.2068693249	3.166722567
129	0.2072325306	3.164285082
130	0.2079115673	3.161844961
131	0.2087958942	3.158064678
132	0.2089853928	3.156940603
133	0.2096960126	3.154755959
134	0.2104540071	3.151182087
135	0.211338334	3.148052018
136	0.2118910383	3.146226336
137	0.2120647454	3.144068587
138	0.2130596131	3.141371531
139	0.2135017765	3.139478939
140	0.2142123964	3.137701297
141	0.2147019345	3.134873625
142	0.2152230557	3.132792388
143	0.2151598895	3.130755884
144	0.216091591	3.128330422
145	0.2161705488	3.126425893
146	0.2167706277	3.12453174
147	0.217465456	3.121174468
148	0.2182076589	3.117989957
149	0.2192341098	3.115125168
150	0.2197078563	3.113836287
151	0.2206869325	3.11103977
152	0.2213817608	3.108116103
153	0.2226608764	3.106196064
154	0.222850375	3.10325348
155	0.223908409	3.100967702
156	0.2244769049	3.098099641
157	0.2246032373	3.095905091
158	0.2252191078	3.093508796
159	0.2260402685	3.090924823
160	0.2268930122	3.088550643
161	0.2270825109	3.086708766
162	0.2273667588	3.084664909
163	0.2280300039	3.08271285
164	0.2282352941	3.080733221
165	0.2284405843	3.07977535
166	0.2291354126	3.077954765
167	0.229577576	3.076394237
168	0.2303987367	3.074210968
169	0.2308251086	3.072205163
170	0.2311725227	3.070959581
171	0.2316620608	3.069240478
172	0.2321673904	3.066833158
173	0.2324832215	3.065201588
174	0.2325305961	3.063291798
175	0.2330675089	3.061423857
